City,Cloudiness,Country,Humidity,Lat,Lng,Max Temp,Wind Speed
Conde,75,BR,74,-7.26,-34.91,82.4,13.87
New Norfolk,99,AU,64,-42.78,147.06,55.99,1.01
Busselton,0,AU,77,-33.65,115.33,54.0,1.01
Avera,90,US,66,33.19,-82.53,48.2,11.41
Nome,90,US,92,64.5,-165.41,19.4,18.34
Barrow,1,US,76,71.29,-156.79,-5.8,19.46
Egvekinot,98,RU,93,66.32,-179.17,8.35,12.01
Bluff,70,NZ,61,-46.6,168.33,63.0,8.99
Ushuaia,90,AR,75,-54.8,-68.3,44.6,34.45
Dalvik,90,IS,88,65.97,-18.53,37.4,13.87
Antalaha,7,MG,86,-14.9,50.28,72.79,6.29
Hokitika,48,NZ,79,-42.72,170.97,58.12,8.95
Jamestown,90,US,63,42.1,-79.24,28.0,4.7
Beyneu,0,KZ,84,45.32,55.2,29.43,18.86
Fare,80,PF,77,-16.7,-151.02,81.23,19.66
Chatham,36,GB,90,51.38,0.53,50.0,1.01
Abū Zabad,0,SD,18,12.35,29.25,71.56,10.87
Dombarovskiy,1,RU,84,50.76,59.54,13.1,7.16
Upernavik,0,GL,82,72.79,-56.15,9.19,3.78
Bethel,1,US,40,41.37,-73.41,35.6,9.17
Dunedin,76,NZ,68,-45.87,170.5,61.0,11.99
Mahébourg,40,MU,88,-20.41,57.7,77.0,13.87
Palmer,20,US,22,42.16,-72.33,34.0,14.99
Hobart,75,AU,50,-42.88,147.33,55.99,12.75
Cabo San Lucas,40,MX,47,22.89,-109.91,78.01,4.7
Punta Arenas,40,CL,50,-53.15,-70.92,55.4,42.5
Khatanga,90,RU,84,71.97,102.5,-34.96,1.41
Bani Walid,28,LY,53,31.76,13.99,54.81,5.23
Portland,75,US,87,45.52,-122.68,48.2,19.46
Carnarvon,0,AU,83,-24.87,113.63,71.6,21.92
Rikitea,1,PF,70,-23.12,-134.97,76.93,5.03
Río Gallegos,20,AR,31,-51.62,-69.22,60.8,44.96
Lubao,75,PH,83,14.92,120.55,77.0,2.24
Vaini,75,TO,94,-21.2,-175.2,75.2,21.92
Bredasdorp,0,ZA,76,-34.53,20.04,57.2,1.12
Esim,100,GH,85,4.87,-2.24,78.71,6.15
Mar del Plata,20,AR,36,-38.0,-57.56,64.4,18.34
Salalah,0,OM,56,17.02,54.09,73.4,6.93
Ribeira Grande,40,PT,72,38.52,-28.7,60.8,12.75
Vao,38,NC,76,-22.67,167.48,76.21,24.43
Airai,93,TL,100,-8.93,125.41,60.91,2.24
Norman Wells,75,CA,75,65.28,-126.83,-18.4,9.17
Yeppoon,11,AU,83,-23.13,150.73,75.2,3.85
Saskylakh,7,RU,83,71.92,114.08,-30.21,5.08
Puerto Ayora,40,EC,65,-0.74,-90.35,80.6,9.55
Tura,0,IN,82,25.52,90.22,59.0,3.58
Pekan,20,MY,94,3.48,103.4,77.0,3.36
Kibre Mengist,1,ET,52,5.88,38.98,53.13,2.86
Sisimiut,71,GL,90,66.94,-53.67,22.37,10.11
Richards Bay,100,ZA,91,-28.78,32.04,72.93,11.03
Margate,0,GB,82,51.38,1.39,50.0,1.99
Albany,32,US,34,42.6,-73.97,30.99,5.01
Avarua,84,CK,78,-21.21,-159.78,82.4,13.87
Zbarazh,65,UA,98,49.66,25.78,32.04,8.84
Leiyang,100,CN,91,26.4,112.86,34.63,5.1
Bom Jardim,40,BR,58,-7.8,-35.59,84.2,19.46
Leningradskiy,100,RU,91,69.38,178.42,18.23,22.46
St. George's,40,GD,70,12.06,-61.75,87.8,2.24
Qaanaaq,0,GL,63,77.48,-69.36,-1.46,7.92
Tuatapere,57,NZ,61,-46.13,167.68,63.0,8.99
Udachny,75,RU,75,66.42,112.4,-16.6,6.71
Kutoarjo,86,ID,96,-7.72,109.91,66.0,1.5
Castro,1,BR,82,-24.79,-50.01,72.79,8.16
Port Alfred,0,ZA,88,-33.59,26.89,66.99,4.0
Tiksi,0,RU,85,71.69,128.87,-23.75,2.75
Port Elizabeth,0,ZA,82,-33.92,25.57,66.2,11.41
The Pas,20,CA,84,53.83,-101.25,-2.2,8.05
Pitimbu,75,BR,74,-7.47,-34.81,82.4,13.87
Sémbé,18,CG,78,1.65,14.58,75.09,2.48
Pushkino,90,RU,85,56.02,37.87,24.8,4.47
Lyaskelya,100,RU,96,61.77,31.02,32.61,7.45
Ahipara,0,NZ,66,-35.17,173.17,65.21,6.67
Nyurba,70,RU,87,63.28,118.33,-20.06,4.68
San Miguel,20,SV,49,13.48,-88.18,95.0,2.24
Port Lincoln,98,AU,83,-34.73,135.87,60.49,13.27
Kamariótissa,20,GR,81,40.48,25.47,48.2,22.57
Mataura,6,NZ,61,-46.19,168.86,63.0,8.99
Hermanus,0,ZA,83,-34.42,19.23,57.0,8.5
Yellowknife,20,CA,73,62.46,-114.35,-31.0,3.36
Bathsheba,40,BB,70,13.22,-59.52,86.0,10.29
Osoyoos,100,CA,86,49.03,-119.45,33.8,8.05
Saint Paul Harbor,90,US,74,57.79,-152.41,35.6,4.7
Ancud,75,CL,50,-41.87,-73.82,57.2,8.05
Kruisfontein,1,ZA,78,-34.0,24.73,66.99,1.01
Kapaa,20,US,78,22.08,-159.32,78.8,13.87
East London,97,ZA,79,-33.02,27.91,69.57,7.78
Lüderitz,0,NA,56,-26.65,15.16,71.6,23.04
Launceston,90,AU,76,-41.45,147.17,55.99,20.8
Cape Town,0,ZA,68,-33.93,18.42,66.0,26.4
Saint-Philippe,46,RE,88,-21.36,55.77,77.0,13.53
Darhan,0,MN,86,49.49,105.92,-0.18,4.12
Narsaq,20,GL,32,60.92,-46.05,37.4,19.46
Chokurdakh,90,RU,86,70.63,147.92,-29.54,2.1
Honningsvåg,40,NO,87,70.98,25.97,33.8,3.36
Eganville,20,CA,46,45.53,-77.1,12.0,8.05
Nuevitas,75,CU,65,21.55,-77.26,82.4,11.41
Bambous Virieux,40,MU,88,-20.34,57.76,77.0,13.87
Souillac,40,MU,88,-20.52,57.52,77.0,13.87
Fortuna,100,US,93,40.6,-124.16,51.01,7.0
Oyama,20,JP,68,36.3,139.8,41.0,3.85
Yangi Marg`ilon,90,UZ,90,40.43,71.72,32.0,2.24
Saldanha,0,ZA,67,-33.01,17.94,62.6,16.11
Tuktoyaktuk,75,CA,76,69.45,-133.04,-9.4,9.17
Bukachacha,0,RU,84,52.98,116.92,-15.81,1.86
Hofn,100,IS,91,64.25,-15.21,39.47,22.06
Chui,0,UY,74,-33.7,-53.46,69.22,14.99
Prince Rupert,90,CA,81,54.32,-130.32,42.8,12.75
